#TYPE Selected.System.Text.RegularExpressions.Match
"Value";"Number";"Year";"Title";"DocType"
"I lov om valg af danske medlemmer til Europa-Parlamentet, jf. lovbekendtgørelse nr. 368 af 10. april 2014, som ændret ved § 2 i lov nr. 312 af 29. marts 2014, § 2 i lov nr. 1742 af 22. december 2015 og § 1 i lov nr. 381 af 27. april 2016, foretages følgende ændringer:";"368";"2014";"lov om valg af danske medlemmer til Europa-Parlamentet";"lovbekendtgørelse"
"I lov om kommunale og regionale valg, jf. lovbekendtgørelse nr. 363 af 2. april 2014, som ændret ved § 3 i lov nr. 1742 af 22. december 2015 og § 2 i lov nr. 381 af 27. april 2016, foretages følgende ændringer:";"363";"2014";"lov om kommunale og regionale valg";"lovbekendtgørelse"
"I lov om private fællesveje, jf. lovbekendtgørelse nr. 1234 af 4. november 2015, foretages følgende ændringer:";"1234";"2015";"lov om private fællesveje";"lovbekendtgørelse"
"I lov om kommunernes styrelse, jf. lovbekendtgørelse nr. 769 af 9. juni 2015, foretages følgende ændringer:";"769";"2015";"lov om kommunernes styrelse";"lovbekendtgørelse"
"I regionsloven, jf. lovbekendtgørelse nr. 770 af 9. juni 2015, foretages følgende ændringer:";"770";"2015";"regionsloven";"lovbekendtgørelse"
"I udlændingeloven, jf. lovbekendtgørelse nr. 412 af 9. maj 2016, som ændret bl.a. ved lov nr. 1743 af 27. december 2016 og § 1 i lov nr. 1745 af 27. december 2016 og senest ved § 2 i lov nr. 81 af 24. januar 2017, og som ændres ved det af Folketinget den 21. februar 2017 vedtagne forslag til lov om ændring af udlændingeloven, lov om fuldbyrdelse af straf m.v. og straffeloven (Styrket kontrol med udlændinge på tålt ophold og kriminelle udviste, herunder indførelse af underretningspligt, skærpet straf, afsoning i fodlænke og særlig adgang til varetægtsfængsling, og ændring af klageadgang), foretages følgende ændringer:";"412";"2016";"udlændingeloven";"lovbekendtgørelse"
"I udlændingeloven, jf. lovbekendtgørelse nr. 412 af 9. maj 2016, som ændret senest ved § 2 i lov nr. 81 af 24. januar 2017, foretages følgende ændringer:";"412";"2016";"udlændingeloven";"lovbekendtgørelse"
"I lov om fuldbyrdelse af straf m.v., jf. lovbekendtgørelse nr. 1242 af 11. november 2015, som ændret ved lov nr. 169 af 27. februar 2016, § 1 i lov nr. 641 af 8. juni 2016, § 2 i lov nr. 1726 af 27. december 2016 og § 2 i lov nr. 1728 af 27. december 2016, foretages følgende ændringer:";"1242";"2015";"lov om fuldbyrdelse af straf m.v.";"lovbekendtgørelse"
"I straffeloven, jf. lovbekendtgørelse nr. 1052 af 4. juli 2016, som ændret ved lov nr. 1723 af 27. december 2016 og § 1 i lov nr. 1728 af 27. december 2016, foretages følgende ændringer:";"1052";"2016";"straffeloven";"lovbekendtgørelse"
"I lov om psykologer m.v., jf. lovbekendtgørelse nr. 229 af 8. marts 2012, foretages følgende ændringer:";"229";"2012";"lov om psykologer m.v.";"lovbekendtgørelse"
"I personskatteloven, jf. lovbekendtgørelse nr. 1163 af 8. oktober 2015, som ændret ved § 6 i lov nr. 1574 af 15. december 2015, § 10 i lov nr. 1888 af 29. december 2015 og § 11 i lov nr. 652 af 8. juni 2016, foretages følgende ændringer:";"1163";"2015";"personskatteloven";"lovbekendtgørelse"
"I lov om skattefri kompensation for forhøjede energi- og miljøafgifter, jf. lovbekendtgørelse nr. 944 af 5. august 2015, foretages følgende ændringer:";"944";"2015";"lov om skattefri kompensation for forhøjede energi- og miljøafgifter";"lovbekendtgørelse"
"I lov om folkeskolen, jf. lovbekendtgørelse nr. 747 af 20. juni 2016, som ændret ved § 13 i lov nr. 1746 af 27. december 2016, foretages følgende ændringer:";"747";"2016";"lov om folkeskolen";"lovbekendtgørelse"
"I lov om institutioner for almengymnasiale uddannelser og almen voksenuddannelse m.v., jf. lovbekendtgørelse nr. 750 af 21. juni 2016, som ændret ved § 1 i lov nr. 1746 af 27. december 2016, foretages følgende ændring:";"750";"2016";"lov om institutioner for almengymnasiale uddannelser og almen voksenuddannelse m.v.";"lovbekendtgørelse"
"I retsplejeloven, jf. lovbekendtgørelse nr. 1257 af 13. oktober 2016, som ændret ved § 2 i lov nr. 1721 af 27. december 2016, lov nr. 1725 af 27. december 2016 og § 4 i lov nr. 80 af 24. januar 2017, foretages følgende ændringer:";"1257";"2016";"retsplejeloven";"lovbekendtgørelse"
"I lov om fuldbyrdelse af straf m.v., jf. lovbekendtgørelse nr. 1242 af 11. november 2015, som ændret ved lov nr. 169 af 27. februar 2016, § 1 i lov nr. 641 af 8. juni 2016, § 2 i lov nr. 1726 af 27. december 2016 og § 2 i lov nr. 1728 af 27. december 2016, foretages følgende ændring:";"1242";"2015";"lov om fuldbyrdelse af straf m.v.";"lovbekendtgørelse"
"I lov om elektroniske kommunikationsnet og -tjenester, jf. lovbekendtgørelse nr. 128 af 7. februar 2014, som ændret ved § 2 i lov nr. 741 af 1. juni 2015 og § 16 i lov nr. 1567 af 15. december 2015, foretages følgende ændring:";"128";"2014";"lov om elektroniske kommunikationsnet og -tjenester";"lovbekendtgørelse"
"I lov om miljøgodkendelse m.v. af husdyrbrug, jf. lovbekendtgørelse nr. 442 af 13. maj 2016, som ændret ved § 15 i lov nr. 341 af 27. april 2011, § 1 i lov nr. 427 af 18. maj 2016 og § 39 i lov nr. 1715 af 27. december 2016, foretages følgende ændringer:";"442";"2016";"lov om miljøgodkendelse m.v. af husdyrbrug";"lovbekendtgørelse"
"I lov om miljøbeskyttelse, jf. lovbekendtgørelse nr. 1189 af 27. september 2016, som ændret ved § 26 i lov nr. 1715 af 27. december 2016, foretages følgende ændringer:";"1189";"2016";"lov om miljøbeskyttelse";"lovbekendtgørelse"
"I lov om jordbrugets anvendelse af gødning og om plantedække, jf. lovbekendtgørelse nr. 388 af 27. april 2016, foretages følgende ændringer:";"388";"2016";"lov om jordbrugets anvendelse af gødning og om plantedække";"lovbekendtgørelse"
"I miljøskadeloven, jf. lovbekendtgørelse nr. 1191 af 27. september 2016, som ændret ved § 44 i lov nr. 1715 af 27. december 2016, foretages følgende ændring:";"1191";"2016";"miljøskadeloven";"lovbekendtgørelse"
"I lov om vurdering og styring af oversvømmelsesrisikoen fra vandløb og søer, jf. lovbekendtgørelse nr. 1618 af 10. december 2015, som ændret ved § 2 i lov nr. 1631 af 26. december 2013 og § 45 i lov nr. 1715 af 27. december 2016, foretages følgende ændring:";"1618";"2015";"lov om vurdering og styring af oversvømmelsesrisikoen fra vandløb og søer";"lovbekendtgørelse"
"I lov om forurenet jord, jf. lovbekendtgørelse nr. 1190 af 27. september 2016, som ændret ved § 36 i lov nr. 1715 af 27. december 2016, foretages følgende ændring:";"1190";"2016";"lov om forurenet jord";"lovbekendtgørelse"
"I lov om forpligtende kommunale samarbejder, jf. lovbekendtgørelse nr. 614 af 6. maj 2015, som ændret ved § 15 i lov nr. 1631 af 26. december 2013 og § 9 i lov nr. 427 af 18. maj 2016, foretages følgende ændring:";"614";"2015";"lov om forpligtende kommunale samarbejder";"lovbekendtgørelse"
"I lov om hold af heste, jf. lovbekendtgørelse nr. 472 af 15. maj 2014, som ændret ved § 70 i lov nr. 1715 af 27. december 2016, foretages følgende ændringer:";"472";"2014";"lov om hold af heste";"lovbekendtgørelse"
"I lov om kommunal ejendomsskat, jf. lovbekendtgørelse nr. 1104 af 22. august 2013, som ændret ved § 1 i lov nr. 1887 af 29. december 2015, § 1 i lov nr. 179 af 1. marts 2016, § 2 i lov nr. 61 af 16. januar 2017 og § 3 i lov nr. 114 af 31. januar 2017, foretages følgende ændring:";"1104";"2013";"lov om kommunal ejendomsskat";"lovbekendtgørelse"
"I lov om kommunal udligning og generelle tilskud til kommuner, jf. lovbekendtgørelse nr. 798 af 24. juni 2013, som ændret bl.a. ved § 2 i lov nr. 179 af 1. marts 2016 og senest ved lov nr. 649 af 8. juni 2016, foretages følgende ændring:";"798";"2013";"lov om kommunal udligning og generelle tilskud til kommuner";"lovbekendtgørelse"
"I udlændingeloven, jf. lovbekendtgørelse nr. 412 af 9. maj 2016, som ændret bl.a. ved lov nr. 612 af 8. juni 2016, § 1 i lov nr. 1745 af 27. december 2016 og lov nr. 188 af 27. februar 2017 og senest ved § 1 i lov nr. 189 af 27. februar 2017, foretages følgende ændringer:";"412";"2016";"udlændingeloven";"lovbekendtgørelse"
"I registreringsafgiftsloven, jf. lovbekendtgørelse nr. 29 af 10. januar 2014, som ændret ved § 1 i lov nr. 1503 af 23. december 2014, § 24 i lov nr. 1532 af 27. december 2014, § 1 i lov nr. 1889 af 29. december 2015, lov nr. 1892 af 29. december 2015 og § 1 i lov nr. 650 af 8. juni 2016, foretages følgende ændringer:";"29";"2014";"registreringsafgiftsloven";"lovbekendtgørelse"
"I lov om vurdering af landets faste ejendomme, jf. lovbekendtgørelse nr. 1067 af 30. august 2013, som ændret ved § 13 i lov nr. 649 af 12. juni 2013, § 1 i lov nr. 1635 af 26. december 2013, lov nr. 1535 af 27. december 2014, § 7 i lov nr. 1883 af 29. december 2015 og § 2 i lov nr. 1887 af 29. december 2015, foretages følgende ændringer:";"1067";"2013";"lov om vurdering af landets faste ejendomme";"lovbekendtgørelse"
"I lov om finansiel virksomhed, jf. lovbekendtgørelse nr. 182 af 18. februar 2015, som ændret bl.a. ved § 1 i lov nr. 334 af 31. marts 2015, § 2 i lov nr. 532 af 29. april 2015 og § 1 i lov nr. 1549 af 13. december 2016 og senest ved § 4 i lov nr. 1721 af 27. december 2016, foretages følgende ændringer:";"182";"2015";"lov om finansiel virksomhed";"lovbekendtgørelse"
"I lov om vurdering af landets faste ejendomme, jf. lovbekendtgørelse nr. 1067 af 30. august 2013, som ændret ved § 13 i lov nr. 649 af 12. juni 2013, § 1 i lov nr. 1635 af 26. december 2013, lov nr. 1535 af 27. december 2014, § 7 i lov nr. 1883 af 29. december 2015 og § 2 i lov nr. 1887 af 29. december 2015, foretages følgende ændringer:";"1067";"2013";"lov om vurdering af landets faste ejendomme";"lovbekendtgørelse"
"I lov om kommunal ejendomsskat, jf. lovbekendtgørelse nr. 1104 af 22. august 2013, som ændret ved § 1 i lov nr. 1887 af 29. december 2015 og § 1 i lov nr. 179 af 1. marts 2016, foretages følgende ændringer:";"1104";"2013";"lov om kommunal ejendomsskat";"lovbekendtgørelse"
"I lov om arbejdsskadesikring, jf. lovbekendtgørelse nr. 848 af 7. september 2009, som ændret senest ved § 18 i lov nr. 718 af 25. juni 2010, foretages følgende ændring:";"848";"2009";"lov om arbejdsskadesikring";"lovbekendtgørelse"
"I lov om udstykning og anden registrering i matriklen, jf. lovbekendtgørelse nr. 1213 af 7. oktober 2013, foretages følgende ændringer:";"1213";"2013";"lov om udstykning og anden registrering i matriklen";"lovbekendtgørelse"
"I lov om Geodatastyrelsen, jf. lovbekendtgørelse nr. 1210 af 9. oktober 2013, foretages følgende ændringer:";"1210";"2013";"lov om Geodatastyrelsen";"lovbekendtgørelse"
"I lov om tinglysning, jf. lovbekendtgørelse nr. 1075 af 30. september 2014, som ændret ved § 15 i lov nr. 573 af 4. maj 2015, § 2 i lov nr. 580 af 4. maj 2015 og § 1 i lov nr. 1721 af 27. december 2016, foretages følgende ændringer:";"1075";"2014";"lov om tinglysning";"lovbekendtgørelse"
"I retsplejeloven, jf. lovbekendtgørelse nr. 1257 af 13. oktober 2016, som ændret ved § 2 i lov nr. 1721 af 27. december 2016 og lov nr. 1725 af 27. december 2016, foretages følgende ændring:";"1257";"2016";"retsplejeloven";"lovbekendtgørelse"
"I lov om bygnings- og boligregistrering, jf. lovbekendtgørelse nr. 1080 af 5. september 2013, som ændret ved § 157 i lov nr. 1520 af 27. december 2014, foretages følgende ændringer:";"1080";"2013";"lov om bygnings- og boligregistrering";"lovbekendtgørelse"
"I lov om ejerlejligheder, jf. lovbekendtgørelse nr. 1713 af 16. december 2010, foretages følgende ændringer:";"1713";"2010";"lov om ejerlejligheder";"lovbekendtgørelse"
"I lov om ægteskabs indgåelse og opløsning, jf. lovbekendtgørelse nr. 1818 af 23. december 2015, som ændret ved lov nr. 1729 af 27. december 2016, foretages følgende ændringer:";"1818";"2015";"lov om ægteskabs indgåelse og opløsning";"lovbekendtgørelse"
"I udlændingeloven, jf. lovbekendtgørelse nr. 412 af 9. maj 2016, som ændret senest ved § 1 i lov nr. 1745 af 27. december 2016, foretages følgende ændring:";"412";"2016";"udlændingeloven";"lovbekendtgørelse"
"I værgemålsloven, jf. lovbekendtgørelse nr. 1015 af 20. august 2007, som ændret ved § 8 i lov nr. 434 af 8. maj 2006, § 2 i lov nr. 221 af 21. marts 2011, § 8 i lov nr. 647 af 12. juni 2013 og § 32 i lov nr. 618 af 8. juni 2016, foretages følgende ændring:";"1015";"2007";"værgemålsloven";"lovbekendtgørelse"
"I lov om statstilskud til dækning af udgifter til kuldioxidafgift i visse virksomheder med et stort energiforbrug, jf. lovbekendtgørelse nr. 424 af 8. maj 2012, foretages følgende ændringer:";"424";"2012";"lov om statstilskud til dækning af udgifter til kuldioxidafgift i visse virksomheder med et stort energiforbrug";"lovbekendtgørelse"
