#TYPE Selected.System.Text.RegularExpressions.Match
"Value";"Number";"Year";"Title";"DocType"
"I lov nr. 308 af 28. marts 2015 om ændring af lov om finansiel virksomhed (Gennemførelse af solvens II- og omnibus II-direktivet), som ændret ved § 6 i lov nr. 334 af 31. marts 2015 og § 13 i lov nr. 532 af 29. april 2015, foretages følgende ændringer:";"308";"2015";"om ændring af lov om finansiel virksomhed (Gennemførelse af solvens II- og omnibus II-direktivet), som ændret ved § 6 i lov nr. 334 af 31. marts 2015 og § 13 i lov nr. 532 af 29. april 2015, foretages følgende ændringer";"lov"
"I lov nr. 492 af 12. maj 2010 om håndhævelse af udbudsreglerne m.v., som ændret ved § 13 i lov nr. 1556 af 21. december 2010, § 1 i lov nr. 618 af 14. juni 2011, § 31 i lov nr. 1231 af 18. december 2012 og lov nr. 511 af 27. maj 2013, foretages følgende ændringer:";"492";"2010";"om håndhævelse af udbudsreglerne m.v., som ændret ved § 13 i lov nr. 1556 af 21. december 2010, § 1 i lov nr. 618 af 14. juni 2011, § 31 i lov nr. 1231 af 18. december 2012 og lov nr. 511 af 27. maj 2013, foretages følgende ændringer";"lov"
"I lov nr. 1528 af 21. december 2010 om arbejdsskadesikring i Grønland foretages følgende ændringer:";"1528";"2010";"om arbejdsskadesikring i Grønland foretages følgende ændringer";"lov"
"I lov nr. 602 af 12. juni 2013 om Forsvarets Efterretningstjeneste (FE), som ændret ved § 3 i lov nr. 1624 af 26. december 2013, foretages følgende ændringer:";"602";"2013";"om Forsvarets Efterretningstjeneste (FE), som ændret ved § 3 i lov nr. 1624 af 26. december 2013, foretages følgende ændringer";"lov"
"I lov nr. 1104 af 22. december 1993 om tilbagelevering af kulturgoder, som ulovligt er fjernet fra et EU-medlemslands område m.v., som ændret ved lov nr. 422 af 10. juni 1997, foretages følgende ændringer:";"1104";"1993";"om tilbagelevering af kulturgoder, som ulovligt er fjernet fra et EU-medlemslands område m.v., som ændret ved lov nr. 422 af 10. juni 1997, foretages følgende ændringer";"lov"
"I lov nr. 848 af 1. juli 2010 om spil, som ændret ved § 51 i lov nr. 223 af 22. marts 2011, § 9 i lov nr. 277 af 27. marts 2012 og § 11 i lov nr. 649 af 12. juni 2013, foretages følgende ændringer:";"848";"2010";"om spil, som ændret ved § 51 i lov nr. 223 af 22. marts 2011, § 9 i lov nr. 277 af 27. marts 2012 og § 11 i lov nr. 649 af 12. juni 2013, foretages følgende ændringer";"lov"
"I lov nr. 698 af 25. juni 2010 om afgifter af spil, som ændret ved § 53 i lov nr. 223 af 22. marts 2011, foretages følgende ændringer:";"698";"2010";"om afgifter af spil, som ændret ved § 53 i lov nr. 223 af 22. marts 2011, foretages følgende ændringer";"lov"
"I lov nr. 223 af 22. marts 2011 for Grønland om visse spil foretages følgende ændringer:";"223";"2011";"for Grønland om visse spil foretages følgende ændringer";"lov"
"I lov nr. 848 af 1. juli 2010 om spil, som ændret ved § 51 i lov nr. 223 af 22. marts 2011, § 9 i lov nr. 277 af 27. marts 2012 og § 11 i lov nr. 649 af 12. juni 2013, foretages følgende ændringer:";"848";"2010";"om spil, som ændret ved § 51 i lov nr. 223 af 22. marts 2011, § 9 i lov nr. 277 af 27. marts 2012 og § 11 i lov nr. 649 af 12. juni 2013, foretages følgende ændringer";"lov"
"I lov nr. 698 af 25. juni 2010 om afgifter af spil, som ændret ved § 53 i lov nr. 223 af 22. marts 2011, foretages følgende ændringer:";"698";"2010";"om afgifter af spil, som ændret ved § 53 i lov nr. 223 af 22. marts 2011, foretages følgende ændringer";"lov"
"I lov nr. 223 af 22. marts 2011 for Grønland om visse spil foretages følgende ændringer:";"223";"2011";"for Grønland om visse spil foretages følgende ændringer";"lov"
"I lov nr. 1504 af 27. december 2009 om offentligt hasardspil i turneringsform, som ændret ved § 12 i lov nr. 718 af 25. juni 2010, § 10 i lov nr. 277 af 27. marts 2012 og § 8 i lov nr. 649 af 12. juni 2013, foretages følgende ændringer:";"1504";"2009";"om offentligt hasardspil i turneringsform, som ændret ved § 12 i lov nr. 718 af 25. juni 2010, § 10 i lov nr. 277 af 27. marts 2012 og § 8 i lov nr. 649 af 12. juni 2013, foretages følgende ændringer";"lov"
"I lov nr. 1483 af 23. december 2014 om fastsættelse af udgiftslofter for stat, kommuner og regioner for finansåret 2018 foretages følgende ændringer:";"1483";"2014";"om fastsættelse af udgiftslofter for stat, kommuner og regioner for finansåret 2018 foretages følgende ændringer";"lov"
"I lov nr. 372 af 2. juni 1999 om miljøbidrag og godtgørelse i forbindelse med ophugning og skrotning af biler, som ændret ved lov nr. 385 af 6. juni 2002, § 106 i lov nr. 428 af 6. juni 2005 og lov nr. 1629 af 26. december 2013, foretages følgende ændringer:";"372";"1999";"om miljøbidrag og godtgørelse i forbindelse med ophugning og skrotning af biler, som ændret ved lov nr. 385 af 6. juni 2002, § 106 i lov nr. 428 af 6. juni 2005 og lov nr. 1629 af 26. december 2013, foretages følgende ændringer";"lov"
"I lov nr. 522 af 26. maj 2010 om havstrategi, som ændret ved § 24 i lov nr. 580 af 18. juni 2012, § 5 i lov nr. 1631 af 26. december 2013 og § 22 i lov nr. 86 af 28. januar 2014, foretages følgende ændringer:";"522";"2010";"om havstrategi, som ændret ved § 24 i lov nr. 580 af 18. juni 2012, § 5 i lov nr. 1631 af 26. december 2013 og § 22 i lov nr. 86 af 28. januar 2014, foretages følgende ændringer";"lov"
"I lov nr. 742 af 25. juni 2014 om ændring af lov om miljøbeskyttelse og lov om planlægning (Kapacitet til destruktion af farligt affald og flytning af VVM-kompetence til regionsrådet m.v.) foretages følgende ændring:";"742";"2014";"om ændring af lov om miljøbeskyttelse og lov om planlægning (Kapacitet til destruktion af farligt affald og flytning af VVM-kompetence til regionsrådet m.v.) foretages følgende ændring";"lov"
"I lov nr. 1631 af 26. december 2013 om ændring af lov om vandforsyning m.v., lov om vurdering og styring af oversvømmelsesrisikoen fra vandløb og søer og forskellige andre love (Konsekvensændringer som følge af lov om vandplanlægning) foretages følgende ændring:";"1631";"2013";"om ændring af lov om vandforsyning m.v., lov om vurdering og styring af oversvømmelsesrisikoen fra vandløb og søer og forskellige andre love (Konsekvensændringer som følge af lov om vandplanlægning) foretages følgende ændring";"lov"
"I lov nr. 1345 af 21. december 2012 om afgift af bidraget til Arbejdsmarkedets Erhvervssygdomssikring og af arbejdsulykkeserstatninger m.v. foretages følgende ændring:";"1345";"2012";"om afgift af bidraget til Arbejdsmarkedets Erhvervssygdomssikring og af arbejdsulykkeserstatninger m.v. foretages følgende ændring";"lov"
"I lov nr. 401 af 26. juni 1998 om Domstolsstyrelsen, som ændret senest ved § 2 i lov nr. 1266 af 16. december 2009, foretages følgende ændring:";"401";"1998";"om Domstolsstyrelsen, som ændret senest ved § 2 i lov nr. 1266 af 16. december 2009, foretages følgende ændring";"lov"
"I lov nr. 447 af 9. juni 2004 om ændring af retsplejeloven, konkursloven, lov om skifte af dødsboer og lov om skifte af fællesbo m.v. (Digital kommunikation i retsplejen, kendelser med begrænset sagsfremstilling, regler om vidneforvarede m.v.), som ændret ved § 4 i lov nr. 1242 af 18. december 2012, foretages følgende ændring:";"447";"2004";"om ændring af retsplejeloven, konkursloven, lov om skifte af dødsboer og lov om skifte af fællesbo m.v. (Digital kommunikation i retsplejen, kendelser med begrænset sagsfremstilling, regler om vidneforvarede m.v.), som ændret ved § 4 i lov nr. 1242 af 18. december 2012, foretages følgende ændring";"lov"
"I lov nr. 1482 af 23. december 2014 om organisering og understøttelse af beskæftigelsesindsatsen m.v. foretages følgende ændring:";"1482";"2014";"om organisering og understøttelse af beskæftigelsesindsatsen m.v. foretages følgende ændring";"lov"
"I lov nr. 384 af 25. maj 2009 om tjenesteydelser i det indre marked foretages følgende ændring:";"384";"2009";"om tjenesteydelser i det indre marked foretages følgende ændring";"lov"
"I lov nr. 526 af 28. maj 2014 om formidling af fast ejendom m.v. foretages følgende ændring:";"526";"2014";"om formidling af fast ejendom m.v. foretages følgende ændring";"lov"
"I lov nr. 455 af 18. maj 2011 om energimærkning af energirelaterede produkter foretages følgende ændringer:";"455";"2011";"om energimærkning af energirelaterede produkter foretages følgende ændringer";"lov"
"I lov nr. 546 af 18. juni 2012 om mæglings- og klageinstitutionen for ansvarlig virksomhedsadfærd, som ændret ved § 29 i lov nr. 1231 af 18. december 2012, foretages følgende ændring:";"546";"2012";"om mæglings- og klageinstitutionen for ansvarlig virksomhedsadfærd, som ændret ved § 29 i lov nr. 1231 af 18. december 2012, foretages følgende ændring";"lov"
"I lov nr. 1353 af 21. december 2012 om ændring af lov om afgift af elektricitet og forskellige andre love og om ophævelse af lov om ændring af lov om afgift af affald og råstoffer (Godtgørelse af elafgift for el forbrugt til opladning af batterier til registrerede elbiler, lempelse vedrørende komfortkøling, dagsbeviser for varebiler samt teknisk justering af energiafgifter m.v. og ophævelse af reglerne om fritagelse for afgift af visse typer af affald fra egen cementproduktion) foretages følgende ændring:";"1353";"2012";"om ændring af lov om afgift af elektricitet og forskellige andre love og om ophævelse af lov om ændring af lov om afgift af affald og råstoffer (Godtgørelse af elafgift for el forbrugt til opladning af batterier til registrerede elbiler, lempelse vedrørende komfortkøling, dagsbeviser for varebiler samt teknisk justering af energiafgifter m.v. og ophævelse af reglerne om fritagelse for afgift af visse typer af affald fra egen cementproduktion) foretages følgende ændring";"lov"
"I lov nr. 578 af 4. maj 2015 om ændring af lov om afgift af elektricitet og momsloven (Tilpasninger til engrosmodellen m.v. og indførelse af omvendt betalingspligt på gas- og elmarkedet) foretages følgende ændringer:";"578";"2015";"om ændring af lov om afgift af elektricitet og momsloven (Tilpasninger til engrosmodellen m.v. og indførelse af omvendt betalingspligt på gas- og elmarkedet) foretages følgende ændringer";"lov"
"I lov nr. 1520 af 27. december 2014 om offentlige veje m.v. foretages følgende ændring:";"1520";"2014";"om offentlige veje m.v. foretages følgende ændring";"lov"
"I lov nr. 170 af 26. februar 2014 om ændring af selskabsskatteloven (Henstand med exitskat ved selskabers overførsel af aktiver og passiver til et andet EU-/EØS-land) foretages følgende ændring:";"170";"2014";"om ændring af selskabsskatteloven (Henstand med exitskat ved selskabers overførsel af aktiver og passiver til et andet EU-/EØS-land) foretages følgende ændring";"lov"
"I lov nr. 528 af 28. maj 2014 om ændring af aktieavancebeskatningsloven, selskabsskatteloven og skattekontrolloven (Selskaber m.v.s registrering af fremførselsberettigede underskud, oplysningspligt om erhvervelse af visse aktier og investeringsbeviser m.v., selvangivelse af kildeartsbegrænsede tab m.v.) foretages følgende ændring:";"528";"2014";"om ændring af aktieavancebeskatningsloven, selskabsskatteloven og skattekontrolloven (Selskaber m.v.s registrering af fremførselsberettigede underskud, oplysningspligt om erhvervelse af visse aktier og investeringsbeviser m.v., selvangivelse af kildeartsbegrænsede tab m.v.) foretages følgende ændring";"lov"
"I lov nr. 506 af 12. juni 2009 om ændring af lov om folkekirkens økonomi (Etablering af permanente stiftsråd), som ændret ved lov nr. 1393 af 23. december 2012, foretages følgende ændring:";"506";"2009";"om ændring af lov om folkekirkens økonomi (Etablering af permanente stiftsråd), som ændret ved lov nr. 1393 af 23. december 2012, foretages følgende ændring";"lov"
"I lov nr. 601 af 12. juni 2013 om akkreditering af videregående uddannelsesinstitutioner foretages følgende ændringer:";"601";"2013";"om akkreditering af videregående uddannelsesinstitutioner foretages følgende ændringer";"lov"
"I lov nr. 324 af 11. april 2012 om Udbetaling Danmark, som ændret ved § 1 i lov nr. 494 af 21. maj 2013 og § 12 i lov nr. 552 af 2. juni 2014, foretages følgende ændringer:";"324";"2012";"om Udbetaling Danmark, som ændret ved § 1 i lov nr. 494 af 21. maj 2013 og § 12 i lov nr. 552 af 2. juni 2014, foretages følgende ændringer";"lov"
"I lov nr. 1262 af 16. december 2009 om produktsikkerhed, som ændret ved § 53 i lov nr. 1231 af 18. december 2012, foretages følgende ændring:";"1262";"2009";"om produktsikkerhed, som ændret ved § 53 i lov nr. 1231 af 18. december 2012, foretages følgende ændring";"lov"
"I lov nr. 401 af 28. april 2014 om autorisation af virksomheder på el-, vvs- og kloakinstallationsområdet foretages følgende ændringer:";"401";"2014";"om autorisation af virksomheder på el-, vvs- og kloakinstallationsområdet foretages følgende ændringer";"lov"
"I lov nr. 599 af 12. juni 2013 om finansielle rådgivere, som ændret ved § 12 i lov nr. 268 af 25. marts 2014 og § 13 i lov nr. 403 af 28. april 2014, foretages følgende ændringer:";"599";"2013";"om finansielle rådgivere, som ændret ved § 12 i lov nr. 268 af 25. marts 2014 og § 13 i lov nr. 403 af 28. april 2014, foretages følgende ændringer";"lov"
"I lov nr. 697 af 25. juni 2010 om pantebrevsselskaber, som ændret bl.a. ved § 13 i lov nr. 1287 af 19. december 2012, § 28 i lov nr. 639 af 12. juni 2013, § 13 i lov nr. 268 af 25. marts 2014 og § 12 i lov nr. 403 af 28. april 2014 og senest ved § 12 i lov nr. 1490 af 23. december 2014, foretages følgende ændringer:";"697";"2010";"om pantebrevsselskaber, som ændret bl.a. ved § 13 i lov nr. 1287 af 19. december 2012, § 28 i lov nr. 639 af 12. juni 2013, § 13 i lov nr. 268 af 25. marts 2014 og § 12 i lov nr. 403 af 28. april 2014 og senest ved § 12 i lov nr. 1490 af 23. december 2014, foretages følgende ændringer";"lov"
"I lov nr. 598 af 12. juni 2013 om forvaltere af alternative investeringsfonde m.v., som ændret ved § 4 i lov nr. 268 af 25. marts 2014, § 4 i lov nr. 403 af 28. april 2014, § 13 i lov nr. 1285 af 9. december 2014 og § 5 i lov nr. 1490 af 23. december 2014, foretages følgende ændringer:";"598";"2013";"om forvaltere af alternative investeringsfonde m.v., som ændret ved § 4 i lov nr. 268 af 25. marts 2014, § 4 i lov nr. 403 af 28. april 2014, § 13 i lov nr. 1285 af 9. december 2014 og § 5 i lov nr. 1490 af 23. december 2014, foretages følgende ændringer";"lov"
"I lov nr. 597 af 12. juni 2013 om investeringsforeninger m.v., som ændret ved § 7 i lov nr. 268 af 25. marts 2014, § 9 i lov nr. 403 af 28. april 2014 og § 4 i lov nr. 1490 af 23. december 2014, foretages følgende ændringer:";"597";"2013";"om investeringsforeninger m.v., som ændret ved § 7 i lov nr. 268 af 25. marts 2014, § 9 i lov nr. 403 af 28. april 2014 og § 4 i lov nr. 1490 af 23. december 2014, foretages følgende ændringer";"lov"
"I lov nr. 1490 af 23. december 2014 om ændring af lov om finansiel virksomhed, lov om værdipapirhandel m.v., lov om betalingstjenester og elektroniske penge og forskellige andre love (Erstatningsansvar ved handlinger i strid med god skik-reglerne, forbrugerbeskyttelse ved kaution, krav om grundkursus til bestyrelsesmedlemmer, brugerbeskyttelse ved udbud af betalingstjenester og udstedelse af elektroniske penge m.v.) foretages følgende ændring:";"1490";"2014";"om ændring af lov om finansiel virksomhed, lov om værdipapirhandel m.v., lov om betalingstjenester og elektroniske penge og forskellige andre love (Erstatningsansvar ved handlinger i strid med god skik-reglerne, forbrugerbeskyttelse ved kaution, krav om grundkursus til bestyrelsesmedlemmer, brugerbeskyttelse ved udbud af betalingstjenester og udstedelse af elektroniske penge m.v.) foretages følgende ændring";"lov"
"I lov nr. 308 af 28. marts 2015 om ændring af lov om finansiel virksomhed (Gennenmførelse af solvens II- og omnibus II-direktivet) foretages følgende ændring:";"308";"2015";"om ændring af lov om finansiel virksomhed (Gennenmførelse af solvens II- og omnibus II-direktivet) foretages følgende ændring";"lov"
"I lov nr. 334 af 31. marts 2015 om ændring af lov om finansiel virksomhed, lov om finansiel stabilitet, lov om en garantifond for indskydere og investorer, lov om værdipapirhandel m.v. og ligningsloven (Gennemførelse af direktiv om genopretning og afvikling af kreditinstitutter og investeringsselskaber (BRRD) og direktiv om indskudsgarantiordninger (DGSD)), foretages følgende ændring:";"334";"2015";"om ændring af lov om finansiel virksomhed, lov om finansiel stabilitet, lov om en garantifond for indskydere og investorer, lov om værdipapirhandel m.v. og ligningsloven (Gennemførelse af direktiv om genopretning og afvikling af kreditinstitutter og investeringsselskaber (BRRD) og direktiv om indskudsgarantiordninger (DGSD)), foretages følgende ændring";"lov"
"I lov nr. 528 af 28. maj 2014 om ændring af aktieavancebeskatningsloven, selskabsskatteloven og skattekontrolloven (Selskaber m.v.s registrering af fremførselsberettigede underskud, oplysningspligt om erhvervelse af visse aktier og investeringsbeviser m.v., selvangivelse af kildeartsbegrænsede tab m.v.), som ændret ved § 12 i lov nr. 202 af 27. februar 2015, foretages følgende ændring:";"528";"2014";"om ændring af aktieavancebeskatningsloven, selskabsskatteloven og skattekontrolloven (Selskaber m.v.s registrering af fremførselsberettigede underskud, oplysningspligt om erhvervelse af visse aktier og investeringsbeviser m.v., selvangivelse af kildeartsbegrænsede tab m.v.), som ændret ved § 12 i lov nr. 202 af 27. februar 2015, foretages følgende ændring";"lov"
"I lov nr. 527 af 26. maj 2010 om anlæg af en jern­bane­stræk­ning København-Ringsted over Køge foretages følgende ændringer:";"527";"2010";"om anlæg af en jern­bane­stræk­ning København-Ringsted over Køge foretages følgende ændringer";"lov"
"I lov nr. 469 af 12. juni 2009 om vandsektorens organisering og økonomiske forhold, som ændret ved § 1 i lov nr. 1518 af 27. december 2009, § 14 i lov nr. 484 af 11. maj 2010, lov nr. 578 af 18. juni 2012 og § 23 i lov nr. 580 af 18. juni 2012, foretages følgende ændring:";"469";"2009";"om vandsektorens organisering og økonomiske forhold, som ændret ved § 1 i lov nr. 1518 af 27. december 2009, § 14 i lov nr. 484 af 11. maj 2010, lov nr. 578 af 18. juni 2012 og § 23 i lov nr. 580 af 18. juni 2012, foretages følgende ændring";"lov"
"I lov nr. 367 af 21. december 1938 om frihed for arrest og forbud med hensyn til luftfartøjer foretages følgende ændring:";"367";"1938";"om frihed for arrest og forbud med hensyn til luftfartøjer foretages følgende ændring";"lov"
"I lov nr. 1498 af 23. december 2014 om ændring af lov om elforsyning, lov om naturgasforsyning, lov om varmeforsyning, lov om tilskud til fremme af vedvarende energi i virksomheders produktionsprocesser, biobrændstofloven og lov om fremme af besparelser i energiforbruget (Erhvervsrettet lempelse af PSO-betaling for elektricitet, afskaffelse af tilskudsordning til ikkekvoteomfattet elproduktion, afskaffelse af PSO-betaling for gas, fravigelse af iblandingsprocent for biobrændstoffer, faktureringsoplysninger m.v. til energiforbrugere, ændring af klageregler m.v.) foretages følgende ændring:";"1498";"2014";"om ændring af lov om elforsyning, lov om naturgasforsyning, lov om varmeforsyning, lov om tilskud til fremme af vedvarende energi i virksomheders produktionsprocesser, biobrændstofloven og lov om fremme af besparelser i energiforbruget (Erhvervsrettet lempelse af PSO-betaling for elektricitet, afskaffelse af tilskudsordning til ikkekvoteomfattet elproduktion, afskaffelse af PSO-betaling for gas, fravigelse af iblandingsprocent for biobrændstoffer, faktureringsoplysninger m.v. til energiforbrugere, ændring af klageregler m.v.) foretages følgende ændring";"lov"
"I lov nr. 575 af 18. juni 2012 om ændring af lov om elforsyning, lov om naturgasforsyning og lov om Energinet.dk (Fremme af konkurrencen på elmarkedet m.v.), som ændret ved § 4 i lov nr. 641 af 12. juni 2013 og § 4 i lov nr. 633 af 16. juni 2014, foretages følgende ændring:";"575";"2012";"om ændring af lov om elforsyning, lov om naturgasforsyning og lov om Energinet.dk (Fremme af konkurrencen på elmarkedet m.v.), som ændret ved § 4 i lov nr. 641 af 12. juni 2013 og § 4 i lov nr. 633 af 16. juni 2014, foretages følgende ændring";"lov"
"I lov nr. 633 af 16. juni 2014 om ændring af lov om elforsyning, lov om naturgasforsyning og lov om Energinet.dk (Ophævelse af forsyningspligten, indførelse af leveringspligt, udskydelse af engrosmodellen, naturgasselskabers anvendelse af økonomiske kompensationer, Energinet.dk’s fusion med datterselskaber m.v.) foretages følgende ændringer:";"633";"2014";"om ændring af lov om elforsyning, lov om naturgasforsyning og lov om Energinet.dk (Ophævelse af forsyningspligten, indførelse af leveringspligt, udskydelse af engrosmodellen, naturgasselskabers anvendelse af økonomiske kompensationer, Energinet.dk’s fusion med datterselskaber m.v.) foretages følgende ændringer";"lov"
"I lov nr. 1390 af 23. december 2012 om ændring af lov om fremme af vedvarende energi, lov om elforsyning, lov om afgift af elektricitet og ligningsloven (Støtte til solcelleanlæg og øvrige små vedvarende energi-anlæg m.v.), som ændret ved § 6 i lov nr. 641 af 12. juni 2013 og § 2 i lov nr. 900 af 4. juli 2013, foretages følgende ændring:";"1390";"2012";"om ændring af lov om fremme af vedvarende energi, lov om elforsyning, lov om afgift af elektricitet og ligningsloven (Støtte til solcelleanlæg og øvrige små vedvarende energi-anlæg m.v.), som ændret ved § 6 i lov nr. 641 af 12. juni 2013 og § 2 i lov nr. 900 af 4. juli 2013, foretages følgende ændring";"lov"
"I lov nr. 555 af 2. juni 2014 om ændring af lov om afgift af elektricitet, lov om afgift af naturgas og bygas, lov om afgift af stenkul, brunkul og koks m.v. og forskellige andre love (Afgiftsnedsættelse for elektricitet fra land til visse erhvervsskibe i havne, mulighed for kraft-varme-værker for at opgøre afgifter på timebasis, ændring af afgiftsregler for biogas m.v. af hensyn til energibeskatningsdirektivet, forsøgsordning med udvidet benyttelse af afgiftsfri institutionsbusser m.v. i frikommuner og forlængelse af forhøjet befordringsfradrag for pendlere i yderkommuner), som ændret ved § 33 i lov nr. 1532 af 27. december 2014, foretages følgende ændring:";"555";"2014";"om ændring af lov om afgift af elektricitet, lov om afgift af naturgas og bygas, lov om afgift af stenkul, brunkul og koks m.v. og forskellige andre love (Afgiftsnedsættelse for elektricitet fra land til visse erhvervsskibe i havne, mulighed for kraft-varme-værker for at opgøre afgifter på timebasis, ændring af afgiftsregler for biogas m.v. af hensyn til energibeskatningsdirektivet, forsøgsordning med udvidet benyttelse af afgiftsfri institutionsbusser m.v. i frikommuner og forlængelse af forhøjet befordringsfradrag for pendlere i yderkommuner), som ændret ved § 33 i lov nr. 1532 af 27. december 2014, foretages følgende ændring";"lov"
"I lov nr. 533 af 26. maj 2010 om ændring af lov om anvendelse af tvang i psykiatrien og lov om rettens pleje (Tvungen opfølgning efter udskrivning) foretages følgende ændring:";"533";"2010";"om ændring af lov om anvendelse af tvang i psykiatrien og lov om rettens pleje (Tvungen opfølgning efter udskrivning) foretages følgende ændring";"lov"
"I lov nr. 708 af 25. juni 2010 om ændring af lov om anvendelse af tvang i psykiatrien og lov om rettens pleje (Betænkningstid forud for tvangsbehandling, oppegående tvangsfiksering på Sikringsafdelingen, udvidet eksternt tilsyn med tvangsfikseringer m.v.) foretages følgende ændring:";"708";"2010";"om ændring af lov om anvendelse af tvang i psykiatrien og lov om rettens pleje (Betænkningstid forud for tvangsbehandling, oppegående tvangsfiksering på Sikringsafdelingen, udvidet eksternt tilsyn med tvangsfikseringer m.v.) foretages følgende ændring";"lov"
"I lov nr. 588 af 24. juni 2005 om Sund og Bælt Holding A/S foretages følgende ændringer:";"588";"2005";"om Sund og Bælt Holding A/S foretages følgende ændringer";"lov"
"I lov nr. 285 af 15. april 2009 om projektering af fast forbindelse over Femern Bælt med tilhørende landanlæg i Danmark foretages følgende ændringer:";"285";"2009";"om projektering af fast forbindelse over Femern Bælt med tilhørende landanlæg i Danmark foretages følgende ændringer";"lov"
