2016-1; § 13 ophæves.
2016-129; I § 87 i, stk. 2, 2. pkt., ændres »Regionerne i forening« til: »Danske Regioner«.
2016-129; § 169 affattes således:
2016-129; I § 170, stk. 1, ændres »i sygdomstilfælde godtgørelse for nødvendig befordring« til: »befordring eller befordringsgodtgørelse«.
2016-129; I § 170, stk. 2, ændres »befordringsgodtgørelse« til: »befordring og befordringsgodtgørelse«.
2016-129; I § 170, stk. 3, 1. pkt., ændres »i sygdomstilfælde godtgørelse til de i stk. 1 nævnte personer for nødvendig befordring« til: »befordring eller befordringsgodtgørelse til de i stk. 1 nævnte personer«.
2016-129; I § 170, stk. 3, 2. pkt., ændres »befordringsgodtgørelse« til: »befordring og befordringsgodtgørelse«.
2016-129; I § 171 indsættes efter stk. 1 som nyt stykke:
2016-129; I § 171, stk. 2, der bliver stk. 3, indsættes efter »sygehusbehandling«: »og til diagnostiske undersøgelser på sygehus til brug for udredning hos alment praktiserende læge eller hos praktiserende speciallæge«.
2016-129; I § 171, stk. 3, 1. pkt., der bliver stk. 4, 1. pkt., indsættes efter »sygehusbehandling«: »og til diagnostiske undersøgelser på sygehus til brug for udredning hos alment praktiserende læge eller hos praktiserende speciallæge«.
2016-129; I § 171, stk. 4, der bliver stk. 5, ændres »stk. 3« til: »stk. 4«.
2016-129; I § 204 indsættes efter stk. 3 som nyt stykke:
2016-129; I § 205 a, stk. 1, indsættes efter »§ 227,«: »stk. 1, virksomheder, der leverer almenmedicinske ydelser efter udbud, jf. § 227, stk. 3, og andre leverandører af sundhedsydelser m.v.,«.
2016-129; I § 205 b, stk. 1, indsættes efter »§ 227,«: »stk. 1, virksomheder, der leverer almenmedicinske ydelser efter udbud, jf. § 227, stk. 3, og andre leverandører af sundhedsydelser m.v.,«.
2016-129; I § 215 b indsættes som stk. 3:
2016-129; I § 262, stk. 1, 1. pkt., indsættes efter »§ 89 a«: »og til diagnostiske undersøgelser efter §§ 82 a og 86, § 89, stk. 1, og § 89 a«.
2016-129; I § 272, stk. 2, indsættes som 2. pkt.:
2016-130; Lovens titel affattes således:
2016-130; I § 3, stk. 1, 1. pkt., ændres »5« til: »7«.
2016-130; I § 5, stk. 1, 1. pkt., § 6, § 9, stk. 1, § 11, stk. 1, § 16, § 19 og § 20, stk. 2 og 3, udgår »og lån«.
2016-130; I § 5, stk. 2, § 18, stk. 2, § 18, stk. 5, 2. pkt., § 20, stk. 1, § 20, stk. 2, nr. 1, og § 21, stk. 1 og 2, udgår »eller lån«.
2016-130; Overskriften til kapitel 3 affattes således:
2016-130; Overskriften før § 14 affattes således:
2016-130; § 14 affattes således:
2016-131; Fodnoten til lovens titel affattes således:
2016-131; Overalt i loven ændres »IT- og Telestyrelsens« til: »Energistyrelsens«, og »IT- og Telestyrelsen« til: »Energistyrelsen«.
2016-131; I § 9, stk. 3, nr. 5, udgår »og«, og efter nr. 5 indsættes som nyt nummer:
2016-131; I § 10, stk. 3, ændres »§ 9, stk. 3, nr. 3,« til: »stk. 2, nr. 6, § 9, stk. 3, nr. 3 og 6,«.
2016-131; I § 10, stk. 3, indsættes efter nr. 1 som nyt nummer:
2016-131; I § 10, stk. 4, indsættes som 2. og 3 . pkt.:
2016-131; I § 11, stk. 3, ændres »§ 9, stk. 3, nr. 3,« til: »stk. 2, nr. 4, § 9, stk. 3, nr. 3 og 6,«.
2016-131; I § 11, stk. 3, nr. 1, udgår »og«, og efter nr. 1 indsættes som nyt nummer:
2016-131; I § 11, stk. 3, nr. 2, der bliver nr. 3, ændres »udbud.« til: »udbud, og«, og som nr. 4 indsættes:
2016-131; I § 11, stk. 4, indsættes som 2. og 3. pkt.:
2016-131; I § 12, stk. 3, indsættes efter »som nævnt i«: »stk. 2, nr. 8, og«.
2016-131; I § 12, stk. 3, indsættes efter »fornyelse af tilladelserne«: », om anvendelse af de radiofrekvenser, der er omfattet af tilladelserne, inden en nærmere fastsat dato«.
2016-131; I § 12, stk. 4, indsættes som 2. og 3. pkt.:
2016-131; §§ 15-18 ophæves.
2016-131; I § 54, stk. 1, nr. 2, indsættes efter »i medfør af«: »§ 10, stk. 4, § 11, stk. 4, § 12, stk. 4,«.
2016-131; I § 54, stk. 1, nr. 2, ændres »§§ 14-17« til: »§ 14«.
2016-131; § 59 ophæves.
2016-132; § 1 affattes således:
2016-132; § 2, stk. 1, nr. 1, affattes således:
2016-132; I § 2, stk. 1, nr. 2, indsættes efter »andre vandselskaber«: »af samme forsyningsart«.
2016-132; I § 2, stk. 2, ændres »§ 19, stk. 3« til: »§ 19, stk. 2«.
2016-132; § 2, stk. 3, affattes således:
2016-132; I § 2, stk. 4, udgår »vand- eller spildevandsforsyningsvirksomheder og«.
2016-132; § 2, stk. 5, affattes således:
2016-132; § 2, stk. 6, nr. 1 og 2, ophæves .
2016-132; I § 3, stk. 1, 1. pkt., ændres »prisloft« til: »indtægtsrammer m.v.«.
2016-132; § 4, stk. 1 og 2, affattes således:
2016-132; I § 4, stk. 3, 1. pkt., og stk. 4, 1. pkt., ændres »resultatorienterede« til: »totaløkonomiske«.
2016-132; I § 4, stk. 3, 3. pkt., ændres »det efterfølgende kalenderår« til: »den først kommende benchmarking for det pågældende vandselskab«.
2016-132; § 5 affattes således:
2016-132; Overskriften til kapitel 3 affattes således:
2016-132; § 6 ophæves, og i stedet indsættes:
2016-132; I § 7, stk. 1, 1. pkt., ændres »prisloftet« til: »indtægtsrammen eller den regnskabsmæssige kontrolramme«, og i 2. pkt. ændres »det ændrede prisloft« til: »den ændrede indtægtsramme eller regnskabsmæssige kontrolramme«, og »dette« til: »denne«.
2016-132; § 8 affattes således:
2016-132; § 9, stk. 1, ophæves.
2016-132; I § 9, stk. 2, der bliver stk. 1, ændres »prisloft,« til: »indtægtsramme, jf. § 6, og regnskabsmæssig kontrolramme, jf. § 6 a, og«, og »og varetager kontrolfunktionen m.v. vedrørende vandselskabernes interne overvågningsordning efter § 19« udgår.
2016-132; I § 9, stk. 3, der bliver stk. 2, ændres »lov om kommuners afståelse af vandforsyninger og spildevandsforsyninger« til: »lov om kommuners afståelse af vandselskaber«.
2016-132; § 10, stk. 1-4, ophæves, og i stedet indsættes:
2016-132; § 11, stk. 2, affattes således:
2016-132; § 11, stk. 3, affattes således:
2016-132; I overskriften til kapitel 5 indsættes efter »Forbrugerforhold«: », kundeforhold«.
2016-132; Efter § 12 indsættes:
2016-132; § 13 affattes således:
2016-132; I § 14, stk. 1, ændres »for vandselskaber, der er« til: »bortset fra bestemmelserne i §§ 11, 12 og 15-17 for vandselskaber, der er eller senere end den 1. juli 2009 har været«.
2016-132; I § 15, stk. 2, ændres »vandforsyningsanlæg« til: »vandforsyninger«, og efter 1. pkt. indsættes:
2016-132; I § 15, stk. 4, ændres »vand- eller spildevandsforsyningsvirksomheder« til: »vandselskaber«.
2016-132; § 16, stk. 1, affattes således:
2016-132; I § 16 indsættes som stk. 3:
2016-132; I § 18, stk. 1, 1. pkt., ændres »denne anden virksomhed« til: »denne«, og i 3. pkt. ændres »ikke for anden virksomhed« til: »ikke for tilknyttet virksomhed«.
2016-132; § 18, stk. 3, 1. og 2. pkt., affattes således:
2016-132; § 19, stk. 1 og 2, ophæves, og i stedet indsættes:
2016-132; I § 19, stk. 6, der bliver stk. 5, ændres »stk. 5« til: »stk. 4«.
2016-132; I § 19 indsættes som stk. 6:
2016-132; § 19, stk. 7 og 8, ophæves.
2016-132; § 24 affattes således:
2016-132; I § 25 ændres »Miljøministeren« til: »Energi-, forsynings- og klimaministeren og miljø- og fødevareministeren«, og »ministeren« ændres til: »den pågældende minister«.
2016-132; I § 30, stk. 1, nr. 2, udgår »registrere eller«.
2016-132; § 30, stk. 1, nr. 3, affattes således:
