2013-1101; I § 15, stk. 3, udgår », 12 uger i 2011 og 8 uger i 2012«.
2013-1347; I § 5, stk. 2, 1. pkt., ændres »2. pkt.,« til: »2. og 3. pkt.,«.
2013-1347; I § 6, stk. 5, 2. pkt., ændres »2. pkt.,« til: »2. og 3. pkt.,«.
2013-1347; § 8, stk. 1, 4. pkt., ophæves.
2013-1347; I § 8 indsættes efter stk. 1 som nyt stykke:
2013-1347; I § 8, stk. 2, 1. pkt., der bliver stk. 3, 1. pkt., ændres »Nedslaget efter stk. 1« til: »Nedslaget efter stk. 1 og 2«.
2013-1347; I § 5, stk. 4, nr. 8, 1. pkt., udgår »og sammenslutninger af andelskasser efter §§ 89-96 i lov om finansiel virksomhed«.
2013-1347; § 19, nr. 2, ophæves.
2013-1367; § 99 a, stk. 7, affattes således:
2013-1367; § 99 a, stk. 8, affattes således:
2013-1367; I § 99 a indsættes som stk. 9:
2013-1367; § 138, stk. 1-4, ophæves, og i stedet indsættes:
2013-1367; § 157, stk. 1, affattes således:
2013-1367; § 33, stk. 1, affattes således:
2013-1367; § 33, stk. 1, affattes således:
2013-1367; § 40, stk. 2, affattes således:
2013-1367; § 53, stk. 1, 3. pkt., ophæves, og i stedet indsættes:
2013-1367; § 100, stk. 6, affattes således:
2013-1367; Efter § 100 indsættes:
2013-1367; § 272, stk. 1, affattes således:
2013-1367; I § 290, 2. pkt., ændres »§ 272, stk. 1, nr. 1, 4 og 6-12« til: »§ 272, stk. 1, nr. 1, 2, 5 og 8-14«.
2013-1367; I § 310, 2. pkt., ændres »§ 292, stk. 1, nr. 1, 2, 5 og 7-13« til: »§ 292, stk. 1, nr. 1-3, 6 og 9-15«.
2013-1367; I § 79 a, stk. 1, udgår »Dansk Skibskredit A/S,«.
2013-1367; I § 84, stk. 1, ændres »§§ 101« til: »§§ 100 a, 101«.
2013-1367; I § 88, stk. 1, ændres »§§ 101« til: »§§ 100 a, 101«.
2013-1367; I § 114, stk. 1, ændres »§ 100« til: »§§ 100 og 100 a«.
2013-1367; § 1, nr. 16, 29 og 142, ophæves.
2013-1386; I § 3 indsættes som stk. 4 og 5:
2013-1386; (Udelades)
2013-1386; § 3, stk. 3, affattes således:
2013-1458; I § 74 m indsættes efter stk. 11 som nyt stykke:
2013-1458; I § 74 m, stk. 15, der bliver stk. 16, ændres »stk. 1-13« til: »stk. 1-14«.
2013-1458; I § 74 m, stk. 16, der bliver stk. 17, ændres to steder »stk. 15« til: »stk. 16«.
2013-1458; I § 74 m, stk. 17, der bliver stk. 18, ændres »stk. 15 og 16« til: »stk. 16 og 17«.
2013-1458; I § 74 m, stk. 18, der bliver stk. 19, ændres »stk. 1-12« til: »stk. 1-13«.
2013-1459; Efter § 3 indsættes:
2013-1459; I § 4, stk. 1, indsættes som 2. pkt.:
2013-1459; Efter § 15 indsættes før kapitel 5:
2013-1459; § 17 affattes således:
2013-1459; § 24 d affattes således:
2013-1459; Efter § 27 indsættes før kapitel 8:
2013-1459; § 1 a ophæves, og i stedet indsættes:
2013-1459; I § 5, stk. 1, indsættes som 2. pkt.:
2013-1459; § 14 affattes således:
2013-1459; Efter § 20 indsættes før kapitel 6:
2013-1459; Efter § 13 indsættes før kapitel 6:
2013-1459; § 15 a, stk. 4 og 5, ophæves.
2013-1459; Efter § 15 a indsættes før kapitel 7:
2013-1459; § 6, stk. 3-7, ophæves.
2013-1459; § 37, stk. 2-5, ophæves.
2013-1459; I § 66, stk. 1, indsættes som 2. pkt.:
2013-1459; Efter § 66 indsættes før kapitel 14:
2013-1459; I § 36, stk. 1, indsættes som 3. pkt.:
2013-1459; Efter § 37 indsættes før kapitel 10:
2013-1459; I § 58, stk. 1, indsættes som 2. pkt.:
2013-1459; Efter § 59 indsættes før kapitel 16:
2013-1459; Efter § 32 indsættes før kapitel 11:
2013-1459; § 34 ophæves.
2013-1459; § 15 a ophæves, og i stedet indsættes:
2013-1459; I § 18, stk. 1, indsættes som 2. pkt.:
2013-1459; Efter § 15 indsættes før kapitel 4:
2013-1459; § 9 b, stk. 4 og 5, ophæves.
2013-1459; Efter § 9 b indsættes før kapitel 3:
2013-1459; § 7 a, stk. 4 og 5, ophæves.
2013-1459; Efter § 7 a indsættes før kapitel 3:
2013-1459; Efter § 2 indsættes:
2013-1459; Efter § 34 indsættes før kapitel 7:
2013-1459; § 36 affattes således:
2013-1460; Som fodnote til lovens titel indsættes:
2013-1460; I § 1, stk. 2, indsættes efter »§§ 55-58,«: »§ 73, stk. 1 og 2,«.
2013-1460; I § 1 a, stk. 3, ændres »§§ 5, 10 og 11,« til: »§ 5, §§ 10-13,«, og efter »§ 17, stk. 2,« indsættes: »§ 21, stk. 2,«.
2013-1460; I § 17, stk. 1 , udgår »(jf. §§9-11)«.
2013-1460; I § 73 indsættes som stk. 2:
2013-1460; § 74 affattes således:
2013-1460; I § 75 udgår », eller, hvis der ikke er fastsat en sådan frist, inden rimelig tid«.
2013-1460; § 44, stk. 3, affattes således:
2013-1460; § 48, stk. 2, affattes således:
2013-1460; § 74, stk. 1, nr. 3, affattes således:
2013-1460; I § 501, stk. 3, nr. 4, ændres »jf. § 3 i lov om visse forbrugeraftaler,« til: »jf. § 2 i lov om forbrugeraftaler,«.
2013-1460; Efter § 4 indsættes før overskriften før § 7:
2013-1460; Overskriften før § 7 ophæves.
2013-1460; I § 8, stk. 5, indsættes som nr. 9:
2013-1460; I § 19, stk. 6, ændres »kapitel 4 i lov om visse forbrugeraftaler« til: »kapitel 4 i lov om forbrugeraftaler«.
2013-1460; I § 22 b, stk. 1, ændres »lov om visse forbrugeraftaler § 17« til: »lov om forbrugeraftaler § 18«.
2013-1460; § 12, stk. 2, 3. og 4. pkt., affattes således:
2013-1461; I § 12, stk. 1, nr. 2, ændres »jf. stk. 3« til: »jf. stk. 4«.
2013-1461; I § 12 indsættes efter stk. 2 som nyt stykke:
2013-1461; I § 27, stk. 1, ændres »§ 12, stk. 3« til: »§ 12, stk. 4«.
2013-1461; Efter § 37 indsættes i kapitel 8:
2013-1461; I § 80, stk. 1, 1. pkt., indsættes efter »spørgsmål,«: »og miljøministerens afgørelser efter § 37 a«.
2013-1461; I § 82, stk. 4, indsættes som 2. pkt.:
2013-1462; I § 50, stk. 4, 2. pkt., ændres »§ 52 og § 76« til: »§§ 52, 76 og 76 a«.
2013-1462; I § 55, stk. 1, 1. pkt., ændres »og efter § 76, stk. 3, nr. 1 og 3,« til: »§ 76, stk. 3, nr. 1 og 3, og § 76 a, stk. 2,«.
2013-1462; Efter § 66 indsættes:
2013-1462; I § 68, stk. 1, ændres »§ 76« til: »§§ 76 og 76 a«.
2013-1462; I § 68, stk. 12, 1. pkt., indsættes efter »efterværn«: »eller opretholdt anbringelse, jf. § 76 a«, og »§ 76« ændres til: »§§ 76 eller 76 a«.
2013-1462; I § 68, stk. 13, 1. pkt., indsættes efter »den nye opholdskommune«: », medmindre der er truffet afgørelse om foranstaltninger efter § 76 a«.
2013-1462; I § 76, stk. 8, indsættes efter »stk. 3«: »eller § 76 a, stk. 2«.
2013-1462; Efter § 76 indsættes i kapitel 12:
2013-1462; I § 140, stk. 1, 1. pkt., ændres »§ 52 og § 76« til: »§§ 52, 76 og 76 a«.
2013-1462; I § 160 ændres »efter § 76, stk. 3, nr. 1, og« til: »efter § 76, stk. 3, nr. 1, og § 76 a, stk. 2, og«.
2013-1462; I § 167, stk. 4, indsættes efter »§ 76«: »eller opretholdt anbringelse efter § 76 a«.
2013-1462; I § 176 a, stk. 1, 1. pkt., ændres »§ 76« til: »§§ 76 eller 76 a«.
2013-1462; I § 176 a, stk. 2, indsættes efter »§ 76, stk. 3, nr. 1 eller 3«: », eller § 76 a, stk. 2«.
2013-1462; I § 9 a, stk. 7, 1. pkt., indsættes efter »§ 9, stk. 7«: », eller hvis den pågældende ved det fyldte 18. år får opretholdt sin anbringelse i plejefamilie efter § 76 a i lov om social service«.
2013-1462; I § 9 a indsættes som stk. 8:
2013-1462; I § 9 c, stk. 2, nr. 5, udgår »eller«.
2013-1462; I § 9 c, stk. 2, nr. 6, ændres »lov om social service.« til: »lov om social service eller«.
2013-1462; I § 9 c, stk. 2, indsættes som nr. 7:
2013-1462; I § 72, stk. 3, indsættes efter »jf. § 76, stk. 3, nr. 1,«: »og § 76 a, stk. 2,«.
2013-1462; § 1, nr. 11, ophæves.
2013-1463; § 78, stk. 3 og 4, ophæves, og i stedet indsættes:
2013-1463; I § 205, stk. 1, ændres »aftaler« til: »en sundhedsaftale«.
2013-1463; I § 205, stk. 2, ændres », hvilke indsatsområder sundhedsaftalerne« til: »de indsatsområder, sundhedsaftalen«.
2013-1463; § 205, stk. 3, affattes således:
2013-1463; I § 205 indsættes som stk. 4:
2013-1464; I § 9 indsættes som stk. 5-7:
2013-1464; I § 2 indsættes som stk. 6-8:
2013-1465; Efter § 38 indsættes:
2013-1465; Efter § 24 indsættes:
2013-1465; Efter § 28 indsættes i kapitel 6:
2013-1466; I § 1, stk. 2, ændres »lov om godtgørelse ved deltagelse i erhvervsrettet voksen- og efteruddannelse samt befordringsudgifter« til: »lov om godtgørelse og tilskud til befordring ved deltagelse i erhvervsrettet voksen- og efteruddannelse«.
2013-1466; § 3, stk. 1, 3. pkt., ophæves.
2013-1466; I § 25 indsættes efter stk. 2 som nyt stykke:
2013-1467; Efter § 33 a indsættes:
2013-1468; I § 108, stk. 5, og § 109, stk. 4 og 8, ændres »§ 109 a, stk. 13« til: »§ 109 a, stk. 12«.
2013-1468; § 109 a, stk. 3-6, ophæves, og i stedet indsættes:
2013-1468; I § 109 a, stk. 8 og 9, der bliver stk. 7 og 8, ændres »stk. 7« til: »stk. 6«.
2013-1468; I § 109 a, stk. 9, der bliver stk. 8, ændres »stk. 8« til: »stk. 7«.
2013-1468; I § 109 a, stk. 10, der bliver stk. 9, ændres »stk. 6« til: »stk. 3, 1. pkt.,«, »stk. 1, 2 eller 7« til: »stk. 1, 2 eller 6«, »stk. 3« til: »stk. 3, 2.-4. pkt., eller stk. 4«, og »stk. 5« til: »stk. 5, nr. 2«.
2013-1468; I § 109 a, stk. 11, der bliver stk. 10, ændres »stk. 1, 2 eller 7« til: »stk. 1, 2 eller 6«, »stk. 3« til: »stk. 3, 2.-4. pkt., eller stk. 4«, og »stk. 5« til: »stk. 5, nr. 2«.
2013-1468; § 109 a, stk. 12, 1. pkt., der bliver stk. 11, 1. pkt., affattes således:
2013-1468; I § 109 a, stk. 13, der bliver stk. 12, ændres »stk. 3, 4 og 5« til: »stk. 4 og 5«.
2013-1468; I § 109 a, stk. 14, der bliver stk. 13, ændres »stk. 1, 2, 7, 8 og 9« til: »stk. 1, 2 og 6-8«, »efter stk. 3« til: »efter stk. 3, 2.-4. pkt., og stk. 4«, »stk. 3, 2. pkt.,« til: »stk. 4, 2. pkt.,«, »stk. 4 og 5« til: »stk. 5«, »stk. 7« til: »stk. 6«, »stk. 3, 3. pkt.,« til: »stk. 4, 3. pkt.,«, og »stk. 6, 10 og 11« til: »stk. 3, 1. pkt., og stk. 9 og 10«.
2013-1468; I § 109 a, stk. 15, der bliver stk. 14, ændres »stk. 12« til: »stk. 11«.
2013-1468; I § 110, stk. 2, ændres »af folketingsmedlemmets grundvederlag« til: »af den til enhver tid gældende løn på skalatrin 51 (lønskalaen for statstjenestemænd)«.
2013-1469; Som fodnote til lovens titel indsættes:
2013-1469; I § 6, stk. 3, ændres »ved en civil- eller strafferetlig afgørelse« til: »ved en individuel retslig afgørelse eller en administrativ afgørelse, der kan gøres til genstand for retslig prøvelse,«.
2013-1469; I § 19 a, stk. 1, nr. 1, indsættes efter »sit statsborgerskab«: », sin fødselsdato, sit fødested, sin seneste adresse i hjemlandet«.
2013-1469; I § 19 a, stk. 1, nr. 2, udgår »og«.
2013-1469; I § 19 a, stk. 1, nr. 3, ændres »i hjemlandet.« til: »i hjemlandet, og«.
2013-1469; I § 19 a, stk. 1, indsættes som nr. 4:
2013-1469; § 19 a, stk. 2, ophæves.
2013-1469; I § 23, stk. 2, 3. pkt., ændres »jf. dog stk. 3« til: »jf. dog stk. 4«.
2013-1469; § 23, stk. 3, ophæves, og i stedet indsættes:
2013-1469; I § 36, stk. 2, 1. pkt., ændres »den valgbarhedsattest ved­rørende kandidaten, der er nævnt i § 19 a« til: »eventuelle oplysninger modtaget fra vedkommende myndighed i kandidatens hjemland om kandidatens valgbarhed i henhold til proceduren i § 23, stk. 3«.
2013-1469; I § 36, stk. 2, 2. pkt., ændres »valgbarhedsattest ikke er indleveret« til: »vedkommende myndighed i kandidatens hjemland ikke har fremsendt oplysninger om kandidatens valgbarhed«.
2013-1469; I § 47 a, stk. 1, ændres »dansk statsborger« til: »person med dansk indfødsret«.
2013-1469; § 47 a, stk. 2-4, affattes således:
2013-1470; § 8, stk. 4, affattes således:
2013-1470; I § 8 indsættes efter stk. 4 som nyt stykke:
2013-1470; § 8, stk. 5, 1. pkt., der bliver stk. 6, 1. pkt., ophæves.
2013-1470; I § 8, stk. 5, 2. pkt., der bliver stk. 6, 1. pkt., udgår »endvidere«.
2013-1470; I § 20, stk. 1, indsættes efter 2. pkt.:
2013-1470; I § 20, stk. 3, 3. pkt., indsættes efter »udsendes en dagsorden«: »og det fornødne materiale til bedømmelse af de sager, der er optaget på dagsordenen,«.
2013-1470; I § 34, stk. 3, 1. pkt., ændres »§ 66, stk. 2,« til: »§ 66 b, stk. 3,«.
2013-1470; § 42 c, stk. 2, affattes således:
2013-1470; I § 62 d, stk. 2, ændres »lov om Klagenævnet for Udbud« til: »lov om håndhævelse af udbudsreglerne m.v.«
2013-1470; § 64 a, stk. 3, 2. pkt., ophæves.
2013-1470; § 66 ophæves, og i stedet indsættes:
2013-1470; I § 10, stk. 2, ændres »§ 8, stk. 2-6,« til: »§ 8, stk. 2-7,«.
2013-1470; I § 35 a, stk. 2, ændres »lov om Klagenævnet for Udbud« til: »lov om håndhævelse af udbudsreglerne m.v.«
2013-1470; I § 38, 1. pkt., ændres »§ 66 om borgmesterens funktionsvægring« til: »§§ 66-66 d om borgmesterens afsættelse eller suspension«.
2013-1470; I § 105 indsættes efter stk. 1 som nyt stykke:
2013-1470; § 105, stk. 2, 1. og 2. pkt., der bliver stk. 3, 1. og 2. pkt., ophæves, og i stedet indsættes:
2013-1471; I § 11, stk. 2, udgår »af midlertidig karakter«.
2013-1471; I § 36, stk. 2, 1. pkt., ændres »herunder om, at den umiddelbare forvaltning kan henlægges til stående udvalg« til: »jf. dog §§ 36 a-36 c«.
2013-1471; Efter § 36 indsættes:
2013-1499; I § 2 indsættes efter stk. 4 som nye stykker:
2013-1499; I § 2, stk. 5, 2. pkt., der bliver stk. 7, 2. pkt., ændres »stk. 6« til: »stk. 8«.
2013-1499; I § 2, stk. 7, 1. pkt., der bliver stk. 9, 1. pkt., ændres »stk. 1-6« til: »stk. 1-8«.
2013-1499; I § 89 indsættes som stk. 2:
2013-1500; I § 7, stk. 2, nr. 7, udgår »indkomstårets«.
2013-1500; I § 17, stk. 1, indsættes efter 2. pkt.:
2013-1500; I § 17, stk. 1, 6. pkt., der bliver 8. pkt., ændres »4. pkt.« til: »6. pkt.«
2013-1500; § 17, stk. 2, affattes således:
2013-1500; I § 17, stk. 3, nr. 1, og stk. 4, nr. 1, ændres »indkomstår, og« til: »indkomstår,«.
2013-1500; I § 17, stk. 3, nr. 2, litra b, og stk. 4, nr. 2, litra b, ændres: »(pensionsafkastbeskatningsloven).« til: »(pensionsafkastbeskatningsloven), og«.
2013-1500; I § 17, stk. 3 og 4, indsættes som nr. 3:
2013-1500; I § 17 indsættes som stk. 6:
2013-1500; § 27, stk. 5, 1. og 2. pkt., affattes således:
2013-1500; I § 2, stk. 1, indsættes efter »den pensionsberettigedes død,«: »idet kravet om lige store ydelser ikke gælder pen­si‍ons­ordninger omfattet af nr. 1,«.
2013-1500; § 20, stk. 1, nr. 5, ophæves.
2013-1500; § 20 A ophæves.
2013-1500; I § 21 A, stk. 1, indsættes efter 2. pkt.:
2013-1500; I § 21 A, stk. 1, 4. pkt., der bliver 5. pkt., ændres »1. og 3. pkt.« til: »1. og 4. pkt.«
2013-1500; I § 21 A, stk. 1, indsættes som 7. og 8. pkt.:
2013-1500; I § 21 A, stk. 2, indsættes som 3. og 4. pkt.:
2013-1500; I § 28, stk. 1, udgår »§ 20, stk. 1, nr. 5, eller«.
2013-1500; I § 45, stk. 2, indsættes efter »rateopsparing i pensionsøjemed«: », en aldersopsparing«.
2013-1500; Efter kapitel 4 indsættes i afsnit I:
2013-1500; I § 53 B, stk. 6, 3. pkt., indsættes efter »og som ikke har kunnet fradrages ved opgørelsen af den skattepligtige indkomst«: »her i landet eller i udlandet«.
2013-1500; § 57, stk. 1, nr. 4, ophæves.
2013-1500; I § 49 D, stk. 1, indsættes som 2. og 3. pkt.:
2013-1500; I § 2, stk. 1, nr. 4, ændres »pensionsbeskatningslovens § 19« til: »pensionsbeskatningslovens § 19, medmindre der er sket tilbagebetaling til arbejdsgiveren m.v. som nævnt i pensionsbeskatningslovens § 21 A, stk. 1, 3. pkt., eller stk. 2, 4. pkt.,«.
2013-155; I fodnoten til lovens titel ændres »EF-Tidende 2003, L 299, s. 9,« til: »EU-Tidende 2003, L 299, s. 9, samt«.
2013-155; I fodnoten til lovens titel udgår », samt Europa-Parlamentets og Rådets direktiv nr. 2006/42/EF af 17. maj 2006 om maskiner og om ændring af direktiv nr. 95/16/EF (omarbejdning), EU-Tidende 2006, L 157, s. 24«.
2013-155; I § 30, stk. 1, ændres »eller andre tekniske hjælpemidler« til: », byggevarer, andre tekniske hjælpemidler eller personlige værnemidler«.
2013-155; I § 45, stk. 1, ændres »og andre tekniske hjælpemidler« til: », byggevarer, andre tekniske hjælpemidler og personlige værnemidler«.
2013-155; § 74, stk. 6, ophæves.
2013-155; I § 74, stk. 7, nr. 3, som bliver stk. 6, nr. 3, udgår »og 6«.
2013-155; I § 74, stk. 8 og 9, der bliver stk. 7 og 8, ændres »efter stk. 7« til: »efter stk. 6«.
2013-155; I § 74, stk. 10, som bliver stk. 9, udgår »og 6«.
2013-155; § 77, stk. 4 og 5, ophæves.
2013-155; § 81 b, stk. 2, ophæves.
2013-156; Lovens titel affattes således:
2013-156; § 1, stk. 1 og 2, affattes således:
2013-156; § 2, stk. 1, 2. pkt., affattes således:
2013-156; § 3, stk. 4, affattes således:
2013-156; § 5, stk. 1, ophæves.
2013-156; Overskriften før § 7 ophæves.
2013-156; § 7 ophæves.
2013-156; § 9 affattes således:
2013-1562; I § 59, stk. 1, 2. pkt., ændres »tillæg af 2 procentenheder« til: »fradrag af 1,2 procentpoint«.
2013-1562; I § 61, stk. 2, 2. pkt., ændres »4 procentenheder« til: »0,8 procentpoint«.
2013-1562; I § 62, stk. 2, 2. pkt., ændres »2 procentenheder« til: »5,2 procentpoint«.
2013-1562; I § 29 B, stk. 1, ændres »stk. 2-11« til: »stk. 2-10«.
2013-1562; I § 29 B, stk. 4, 3. pkt., og stk. 8, 2. pkt., ændres »stk. 8« til: »stk. 7«.
2013-1562; I § 29 B, stk. 6, 2. og 3. pkt., ændres »stk. 9« til: »stk. 8«.
2013-1562; I § 29 B, stk. 7, 2. pkt., ændres »60 pct.« til: »25 pct.«
2013-157; § 1, stk. 3, ophæves.
2013-157; § 2 affattes således:
2013-158; § 109 b affattes således:
2013-1604; Lovens titel affattes således:
2013-1604; § 1 a ophæves.
2013-1604; § 44, stk. 1, nr. 1, affattes således:
2013-1605; I lovens titel udgår »folkehøjskoler,« og »(frie kostskoler)«.
2013-1605; I § 1, stk. 1, § 2 a og § 11, stk. 4, udgår »folkehøjskoler,«.
2013-1605; I § 1, stk. 1, udgår »(frie kostskoler)«.
2013-1605; § 1, stk. 2, ophæves.
2013-1605; I § 1 a, stk. 1, udgår »folkehøjskoles,«.
2013-1605; I § 1 a, stk. 2, udgår »folkehøjskole,«.
2013-1605; § 1 a, stk. 3, ophæves.
2013-1605; I § 2, stk. 1, 1. pkt., ændres »efterskoler, husholdningsskoler og håndarbejdsskoler« til: »en skole«, og »skolerne« ændres til: »skolen«.
2013-1605; § 3, stk. 2, affattes således:
2013-1605; § 3, stk. 5, ophæves.
2013-1605; I § 3, stk. 6, der bliver stk. 5, ændres »stk. 2-5.« til: »stk. 2-4.«
2013-1605; I § 3 a, 1. pkt., ændres »Efterskoler, husholdningsskoler og håndarbejdsskoler« til: »Skolerne«.
2013-1605; I § 3 a, 2. pkt., ændres »efterskoler, husholdningsskoler og håndarbejdsskoler« til: »skolerne«.
2013-1605; I § 5 a, stk. 1, to steder i § 5 a, stk. 5, og i § 5 c ændres »efterskole, husholdningsskole eller håndarbejdsskole« til: »skole«.
2013-1605; I § 5 a, stk. 7, § 23 c, stk. 1, og § 24 a, stk. 5, ændres »efterskoler, husholdningsskoler og håndarbejdsskoler« til: »skoler«.
2013-1605; I overskriften til kapitel 2 udgår »til frie kostskoler«.
2013-1605; I § 6, stk. 1, ændres »Frie kostskoler« til: »En skole«.
2013-1605; I § 6, stk. 2, ændres »efterskoler, husholdningsskoler og håndarbejdsskoler, og kulturministeren godkender vedtægtsbestemmelser for folkehøjskoler« til: »skolen«.
2013-1605; I § 6, stk. 3, og § 12, stk. 1 og 3, ændres »fri kostskole« til: »skole«.
2013-1605; § 6, stk. 4, affattes således:
2013-1605; I § 6, stk. 5, ændres »børne- og undervisningsministerens eller kulturministerens« til: »undervisningsministerens«.
2013-1605; I § 11, stk. 4, udgår »på folkehøjskoler, husholdningsskoler og håndarbejdsskoler og for elever på efterskoler«.
2013-1605; I § 12 b, stk. 1, 2. pkt., indsættes efter »fri grundskole,«: »folkehøjskole,«.
2013-1605; I § 12 b, stk. 1, 3. pkt., indsættes efter »kombinationen«: », jf. dog § 10, stk. 4, i lov om folkehøjskoler«.
2013-1605; § 13, stk. 1, nr. 1 og 2, ophæves.
2013-1605; I § 13, stk. 2, 1. pkt., indsættes efter »lov om friskoler og private grundskoler m.v.«: », lov om folkehøjskoler«.
2013-1605; I § 17, stk. 1, 2. pkt., ændres »Efterskoler, husholdningsskoler og håndarbejdsskoler« til: »Skolen«.
2013-1605; I § 17, stk. 2, ændres »En efterskole, husholdningsskole og håndarbejdsskole« til: »Skolen«.
2013-1605; § 21 ophæves.
2013-1605; I § 22, stk. 1, nr. 1, ændres »§ 13, stk. 1, nr. 4,« til: »§ 13, stk. 1, nr. 2,«.
2013-1605; § 22, stk. 2, ophæves, og i stedet indsættes:
2013-1605; I § 23, stk. 1, og § 30, stk. 2, nr. 4, ændres »§ 13, stk. 1, nr. 3,« til: »§ 13, stk. 1, nr. 1,«.
2013-1605; I § 23, stk. 2, 1. pkt., ændres »§ 21, stk. 2-4,« til: »§ 22, stk. 2-4,«.
2013-1605; I § 23 a, stk. 2, udgår »folkehøjskoler,« og »henholdsvis § 21, stk. 1, nr. 3, og«.
2013-1605; I § 23 b, 1. pkt., udgår »ungdomshøjskoler,«.
2013-1605; I § 23 b, 2. pkt., ændres »§ 21, stk. 2 og 3,« til: »§ 22, stk. 2 og 3,«.
2013-1605; I § 24 a, stk. 1, 1. pkt., ændres »efterskoler, husholdningsskoler og håndarbejdsskoler« til: »skoler«.
2013-1605; I § 24 b ændres »folkehøjskoler samt til efterskoler, husholdningsskoler og håndarbejdsskoler« til: »skoler«.
2013-1605; § 38 ophæves.
2013-1605; I § 49, 1. pkt., ændres »§ 1, stk. 4, 3. pkt.,« til: »§ 1, stk. 3, 3. pkt.,«.
2013-1605; § 55, stk. 1 og 3, ophæves.
2013-1605; I § 55, stk. 2, der bliver stk. 1, ændres »højskolelovens § 5, stk. 1, 2. pkt.,« til: »§ 5, stk. 1, 2. pkt., i lov om folkehøjskoler, landbrugsskoler, husholdningsskoler og efterskoler, jf. lovbekendtgørelse nr. 661 af 26. oktober 1988,«.
2013-1605; I § 5, stk. 1, nr. 1, udgår »folkehøjskoler,« og »(frie kostskoler)«.
2013-1605; I § 5, stk. 1, nr. 2, ændres »om folkehøjskoler,« til: »om folkehøjskoler og lov om«, og »(frie kostskoler)« udgår.
2013-1605; I § 4, stk. 2, 1. pkt., udgår »folkehøjskoler,« og »(frie kostskoler)«.
2013-1605; I bilag 1, nr. 22, udgår »folkehøjskoler,« og »(frie kostskoler)«.
2013-1605; I bilag 1 indsættes som nr. 28:
2013-1605; I § 9 i, stk. 6, nr. 3, ændres »lov om folkehøjskoler, efterskoler, husholdningsskoler og håndarbejdsskoler (frie kostskoler)« til: »lov om folkehøjskoler og lov om efterskoler, husholdningsskoler og håndarbejdsskoler«.
